article,chunk_name,png_path,code,functions,function_labels
web-dumbbell-chart-with-a-gap-column,unnamed-chunk-3-1,images/web-dumbbell-chart-with-a-gap-column/unnamed-chunk-3-1.png,"df_long %>%
  ggplot(aes(x=value,y=labels)) +

  geom_line(aes(group=labels), color=""#E7E7E7"", linewidth=3.5) +
  # note that linewidth is a little larger than the point size
  # so that the line matches the height of the point. why is it
  # like that? i don't really know

  geom_point(aes(color=name), size=3) +
  theme_minimal() +
  theme(legend.position = ""none"",
        axis.text.y = element_text(color=""black""),
        axis.text.x = element_text(color=""#989898""),
        axis.title = element_blank(),
        panel.grid = element_blank()
        ) +
  scale_color_manual(values=c(""#436685"", ""#BF2F24""))+
  scale_x_continuous(labels = scales::percent_format(scale = 1))
","+,%>%,ggplot,aes,geom_line,geom_point,theme_minimal,theme,element_text,element_blank,scale_color_manual,c,scale_x_continuous,percent_format","geom_line,geom_point"
web-dumbbell-chart-with-a-gap-column,unnamed-chunk-5-1,images/web-dumbbell-chart-with-a-gap-column/unnamed-chunk-5-1.png,"
# set a custom nudge value
nudge_value=.6

p_main=
df_long %>%

  # the following 3 lines of code are the same
  ggplot(aes(x=value,y=labels)) +
  geom_line(aes(group=labels), color=""#E7E7E7"", linewidth=3.5) +
  geom_point(aes(color=name), size=3) +

  # but we want geom_text for the data callouts and the legend

  # data callout
  geom_text(aes(label=value, color=name),
            size=3.25,
            nudge_x=if_else(
              df_long$value==df_long$max, # if it's the larger value...
              nudge_value,   # move it to the right of the point
              -nudge_value), # otherwise, move it to the left of the point
            hjust=if_else(
              df_long$value==df_long$max, #if it's the larger value
              0, # left justify
              1),# otherwise, right justify
            )+

  # legend
  geom_text(aes(label=name, color=name),
            data=. %>% filter(gap==max(gap)),
            nudge_y =.5,
            fontface=""bold"",
            size=3.25)+

  theme_minimal() +
  theme(legend.position = ""none"",
        axis.text.y = element_text(color=""black""),
        axis.text.x = element_text(color=""#989898""),
        axis.title = element_blank(),
        panel.grid = element_blank()
        ) +
  labs(x=""%"",y=NULL) +
  scale_color_manual(values=c(""#436685"", ""#BF2F24"")) +

  #extend the y-axis otherwise the legend is cut off
  coord_cartesian(ylim=c(1, 7.5)) +

  #display percentages with % appended
  scale_x_continuous(labels = scales::percent_format(scale = 1))

p_main","=,+,%>%,ggplot,aes,geom_line,geom_point,geom_text,if_else,==,$,-,filter,max,theme_minimal,theme,element_text,element_blank,labs,scale_color_manual,c,coord_cartesian,scale_x_continuous,percent_format","geom_line,geom_point,geom_text"
web-dumbbell-chart-with-a-gap-column,unnamed-chunk-7-1,images/web-dumbbell-chart-with-a-gap-column/unnamed-chunk-7-1.png,"p_gap=
  df_gap %>%
  ggplot(aes(x=gap,y=labels)) +
  geom_text(aes(x=0, label=gap_label, color=gap_party_max),
            fontface=""bold"",
            size=3.25) +

  geom_text(aes(x=0, y=7), # 7 because that's the # of y-axis values
            label=""Diff"",
            nudge_y =.5, # match the nudge value of the main plot legend
            fontface=""bold"",
            size=3.25) +

  theme_void() +
  coord_cartesian(xlim = c(-.05, 0.05),
                  ylim=c(1,7.5) # needs to match main plot
                  )+
  theme(
    plot.margin = margin(l=0, r=0, b=0, t=0), #otherwise it adds too much space
    panel.background = element_rect(fill=""#EFEFE3"", color=""#EFEFE3""),
    legend.position = ""none""
  )+
  scale_color_manual(values=c(""#436685"", ""#BF2F24""))

p_gap","=,+,%>%,ggplot,aes,geom_text,theme_void,coord_cartesian,c,-,theme,margin,element_rect,scale_color_manual",geom_text
web-dumbbell-chart-with-a-gap-column,unnamed-chunk-8-1,images/web-dumbbell-chart-with-a-gap-column/unnamed-chunk-8-1.png,"p_whole=
  # syntax from `patchwork`
  p_main + p_gap + plot_layout(design=
  c(
    area(l=0,  r=45, t=0, b=1), # defines the main figure area
    area(l=46, r=52, t=0, b=1)  # defines the gap figure area
  ))

p_whole","=,+,plot_layout,c,area",
web-extended-dumbbell-plot-ggplot2,unnamed-chunk-7-1,images/web-extended-dumbbell-plot-ggplot2/unnamed-chunk-7-1.png,"p <- ggplot(dat_gender)+
  
 geom_segment(data = Males,
              aes(x = Enrollments, y = Year,
                  yend = Females$Year, xend = Females$Enrollments), #use the $ operator to fetch data from our ""Females"" tibble
              color = ""#aeb6bf"",
              size = 4.5, #Note that I sized the segment to fit the points
              alpha = .5) +
  
  geom_point(aes(x = Enrollments, y = Year, color = Gender), size = 4, show.legend = TRUE)+
  
ggtitle(""Enrollment Trends at Historically Black Colleges and Universities"")
p","<-,+,ggplot,geom_segment,aes,$,geom_point,ggtitle","geom_segment,geom_point"
web-extended-dumbbell-plot-ggplot2,unnamed-chunk-10-1,images/web-extended-dumbbell-plot-ggplot2/unnamed-chunk-10-1.png,"p + 
   geom_text(data = diff,
             aes(label = paste(""D: "",diff), x = x_pos, y = Year), #note thatI changed the greek letter Delta to ""D:"" because of encoding reasons
             fill = ""white"",
             color = ""#4a4e4d"",
             size = 2.5,
             family = ""Segoe UI Semibold"") -> p_labelled
p_labelled","<-,+,geom_text,aes,paste",geom_text
web-extended-dumbbell-plot-ggplot2,unnamed-chunk-11-1,images/web-extended-dumbbell-plot-ggplot2/unnamed-chunk-11-1.png,"p_labelled +
  
  #add facet for more control
  facet_grid(Year ~ ., scales = ""free"", switch = ""y"") +
  
  #theming
  theme_minimal()+
  theme(panel.grid.major.y = element_blank(),
        panel.grid.minor.y = element_blank(),
        panel.grid.major.x = element_blank(),
        panel.grid.minor.x = element_blank(),
        axis.title.y = element_blank(),
        axis.text.y = element_blank(),
        axis.ticks.y = element_blank(),
        axis.ticks.x = element_line(color = ""#4a4e4d""),
        text = element_text(family = ""Segoe UI Semibold"", color = ""#4a4e4d""),
        strip.text.y.left  = element_text(angle = 0),
        panel.background = element_rect(fill = ""white"", color = ""white""),
        strip.background = element_rect(fill = ""white"", color = ""white""),
        strip.text = element_text(color = ""#4a4e4d"", family = ""Segoe UI""),
        plot.background = element_rect(fill = ""white"", color = ""white""),
        panel.spacing = unit(0, ""lines""),
        plot.margin = margin(1,1,.5,1, ""cm""))-> p_ext_facetted
p_ext_facetted","<-,+,facet_grid,~,theme_minimal,theme,element_blank,element_line,element_text,element_rect,unit,margin",facet_grid
web-extended-dumbbell-plot-ggplot2,unnamed-chunk-12-1,images/web-extended-dumbbell-plot-ggplot2/unnamed-chunk-12-1.png,"ggplot(dat_gender)+
  
  #add mean and standard deviation for both groups
  geom_rect(xmin = stats_males$meanneg, xmax = stats_males$meanpos,
            ymin = 2016, ymax = 1989, fill = ""#762a83"", alpha = .05)+
  geom_vline(xintercept = stats_males$mean, linetype = ""solid"", size = .5, alpha = .8, color = ""#762a83"")+
  
  geom_rect(xmin = stats_females$meanneg, xmax = stats_females$meanpos,
            ymin = 2016, ymax = 1989, fill = ""#009688"", alpha = .05)+  
  geom_vline(xintercept = stats_females$mean, color = ""#009688"", linetype = ""solid"",  size = .5, alpha = .8) +
  
  #add point range
  geom_segment(data = Males, aes(x = Enrollments, y = Year, yend = Females$Year, , xend = Females$Enrollments),
               color = ""#aeb6bf"", size = 4.5, alpha = .5) +
  
  #add points
  geom_point(aes(x = Enrollments, y = Year, color = Gender), size = 4, show.legend = FALSE) +
  
  #color points
  scale_color_manual(values = c(""#009688"",""#762a83""))+
  #add point-range labels
  geom_text(data = diff, aes(label = paste(""D: "",diff), x = x_pos, y = Year), fill = ""white"", color = ""#4a4e4d"", size = 2.5, family = ""Segoe UI"") +
  
  #add annotations for mean and standard deviations
  geom_text(x = stats_females$mean - 1500, y = 1990, label = ""MEAN"", angle = 90, size = 2.5, color = ""#009688"", family = ""Segoe UI"")+
  geom_text(x = stats_females$meanpos -1500, y = 1990, label = ""STDEV"", angle = 90, size = 2.5, color = ""#009688"", family = ""Segoe UI"")+
  
  #add facets for more control
  facet_grid(Year ~ ., scales = ""free"", switch = ""y"") +
  #add title
  ggtitle(""Enrollment Trends at Historically Black Colleges and Universities"")+
  #theming
  theme_minimal()+
  theme(panel.grid.major.y = element_blank(),
        panel.grid.minor.y = element_blank(),
        panel.grid.major.x = element_blank(),
        panel.grid.minor.x = element_blank(),
        axis.title.y = element_blank(),
        axis.text.y = element_blank(),
        axis.ticks.y = element_blank(),
        axis.ticks.x = element_line(color = ""#4a4e4d""),
        text = element_text(family = ""Segoe UI"", color = ""#4a4e4d""),
        strip.text.y.left  = element_text(angle = 0),
        panel.background = element_rect(fill = ""white"", color = ""white""),
        strip.background = element_rect(fill = ""white"", color = ""white""),
        strip.text = element_text(color = ""#4a4e4d"", family = ""Segoe UI""),
        plot.background = element_rect(fill = ""white"", color = ""white""),
        panel.spacing = unit(0, ""lines""),
        plot.margin = margin(1,1,.5,1, ""cm"")) -> p_styled
p_styled","<-,+,ggplot,geom_rect,$,geom_vline,geom_segment,aes,geom_point,scale_color_manual,c,geom_text,paste,-,facet_grid,~,ggtitle,theme_minimal,theme,element_blank,element_line,element_text,element_rect,unit,margin","geom_rect,geom_vline,geom_segment,geom_point,geom_text,facet_grid"
web-extended-dumbbell-plot-ggplot2,unnamed-chunk-13-1,images/web-extended-dumbbell-plot-ggplot2/unnamed-chunk-13-1.png,"p_styled +   
  
  #add subtitle and caption
  labs(subtitle = ""<span style = 'color: #762a83;'>**Male**</span> and <span style = 'color: #009688;'>**Female**</span> Enrollment from 1990 to 2015<br>"",
       caption = ""Plot by **Tobias Stalder** | tobias-stalder.netlify.app<br>Data from **data.world** | data.world/nces | originally by NCES<br>**#TidyTuesday**"")+
  
  #add theming for title, subtitle, caption
  theme(plot.caption = element_markdown(hjust = 0, lineheight = 1.5),
        plot.subtitle = element_markdown(size = 14, hjust = -.06),
        plot.title = element_text(size = 16, hjust = -.14)) -> p_fin #Note that hjust of title and subtitle depend on the export dimensions
p_fin","<-,+,labs,theme,element_markdown,-,element_text",
web-grouped-line-chart-small-multiple,unnamed-chunk-1-1,images/web-grouped-line-chart-small-multiple/unnamed-chunk-1-1.png,"plot(1, pch = 16, cex = 3)
text(1, 1.1, ""A fancy dot"", family = ""lobster"", col = ""steelblue"", cex = 3)","plot,text",text
web-grouped-line-chart-small-multiple,unnamed-chunk-4-1,images/web-grouped-line-chart-small-multiple/unnamed-chunk-4-1.png,"data_wrangled %>% 
  ggplot() + 
  geom_line(data = data_wrangled_bis,aes(x = decade, y = rank , group = country), color = ""grey75"",size = .7) + 
  geom_line(aes( x = decade, y = rank , group = country_name), size = 1.1, color = ""#0b53c1"") +
  geom_point(aes(x = decade, y = rank), shape = 21, fill = ""white"", color = ""#0b53c1"", stroke = 1.3,  size = 2.8) +
  geom_richtext(data = decades_legend, aes(x = decades, y = ranks, label = labels, vjust = vjusts), label.color = NA,fill = NA, family=""Lato"", fontface = ""italic"", size =3 ) +
   labs(
     title = str_to_upper(""Ranking some countries by the number<br>of water sources installations by decade""),
     caption = ""Data from Water Point Data Exchange.<br>
      <span>&#xf099;</span>**@issa_madjid**""
   ) + 
  scale_y_reverse(
    name = NULL
  ) + 
   scale_x_discrete(
     name = NULL, 
     labels = function(x) {paste0(str_sub(x,-2,-1),""s"")}
   ) + 
   coord_cartesian(clip = ""off"") + 
  facet_wrap(vars(country_name)) + 
  theme_minimal(base_family = ""Inconsolata"") +
   theme(
     plot.background = element_rect(fill = ""#f9fbfc""),
     panel.grid.major = element_blank(),
     panel.grid.minor = element_blank(),
     axis.text.y = element_blank(),
     axis.text =  element_text(color = ""black""),
     plot.title = element_markdown(face = ""bold"", hjust = 0.5, size = rel(1.8), margin = margin(t=10, b = 15)),
     plot.subtitle = element_markdown(size = rel(0.9)),
     plot.caption = element_markdown(family = ""Source Sans Pro"",size = rel(.8), margin = margin(t = 10)),
     strip.text = element_text( face = ""bold"", size = rel(1.1)),
     plot.margin = margin(t= 15, r = 10,b = 20, l = 10)
   )","+,%>%,ggplot,geom_line,aes,geom_point,geom_richtext,labs,str_to_upper,scale_y_reverse,scale_x_discrete,function,{,paste0,str_sub,-,coord_cartesian,facet_wrap,vars,theme_minimal,theme,element_rect,element_blank,element_text,element_markdown,rel,margin","geom_line,geom_point,geom_richtext,facet_wrap"
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-4-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-4-1.png,"plt <- ggplot(data) +
  geom_col(aes(count, name), fill = BLUE, width = 0.6) 

plt","<-,+,ggplot,geom_col,aes",geom_col
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-5-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-5-1.png,"plt <- plt + 
  scale_x_continuous(
    limits = c(0, 55.5),
    breaks = seq(0, 55, by = 5), 
    expand = c(0, 0), # The horizontal axis does not extend to either side
    position = ""top""  # Labels are located on the top
  ) +
  # The vertical axis only extends upwards 
  scale_y_discrete(expand = expansion(add = c(0, 0.5))) +
  theme(
    # Set background color to white
    panel.background = element_rect(fill = ""white""),
    # Set the color and the width of the grid lines for the horizontal axis
    panel.grid.major.x = element_line(color = ""#A8BAC4"", size = 0.3),
    # Remove tick marks by setting their length to 0
    axis.ticks.length = unit(0, ""mm""),
    # Remove the title for both axes
    axis.title = element_blank(),
    # Only left line of the vertical axis is painted in black
    axis.line.y.left = element_line(color = ""black""),
    # Remove labels from the vertical axis
    axis.text.y = element_blank(),
    # But customize labels for the horizontal axis
    axis.text.x = element_text(family = ""Econ Sans Cnd"", size = 16)
  )

plt","<-,+,scale_x_continuous,c,seq,scale_y_discrete,expansion,theme,element_rect,element_line,unit,element_blank,element_text",
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-6-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-6-1.png,"plt <- plt + 
  geom_shadowtext(
    data = subset(data, count < 8),
    aes(count, y = name, label = name),
    hjust = 0,
    nudge_x = 0.3,
    colour = BLUE,
    bg.colour = ""white"",
    bg.r = 0.2,
    family = ""Econ Sans Cnd"",
    size = 7
  ) + 
  geom_text(
    data = subset(data, count >= 8),
    aes(0, y = name, label = name),
    hjust = 0,
    nudge_x = 0.3,
    colour = ""white"",
    family = ""Econ Sans Cnd"",
    size = 7
  )

plt","<-,+,geom_shadowtext,subset,<,aes,geom_text,>=","geom_shadowtext,geom_text"
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-7-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-7-1.png,"plt <- plt +
  labs(
    title = ""Escape artists"",
    subtitle = ""Number of laboratory-acquired infections, 1970-2021""
  ) + 
  theme(
    plot.title = element_text(
      family = ""Econ Sans Cnd"", 
      face = ""bold"",
      size = 22
    ),
    plot.subtitle = element_text(
      family = ""Econ Sans Cnd"",
      size = 20
    )
  )
plt","<-,+,labs,theme,element_text",
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-8-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-8-1.png,"# Make room for annotations
plt <- plt + 
  theme(
    plot.margin = margin(0.05, 0, 0.1, 0.01, ""npc"")
  )

# Print the ggplot2 plot
plt

# Add horizontal line on top
# It goes from x = 0 (left) to x = 1 (right) on the very top of the chart (y = 1)
# You can think of 'gp' and 'gpar' as 'graphical parameters'.
# There we indicate the line color and width
grid.lines(
  x = c(0, 1),
  y = 1,
  gp = gpar(col = ""#e5001c"", lwd = 4)
)

# Add rectangle on top-left
# lwd = 0 means the rectangle does not have an outer line
# 'just' gives the horizontal and vertical justification
grid.rect(
  x = 0,
  y = 1,
  width = 0.05,
  height = 0.025,
  just = c(""left"", ""top""),
  gp = gpar(fill = ""#e5001c"", lwd = 0)
)

# We have two captions, so we use grid.text instead of 
# the caption provided by  ggplot2.
grid.text(
  ""Sources: Laboratory-Acquired Infection Database; American Biological Safety Association"", 
  x = 0.005, 
  y = 0.06, 
  just = c(""left"", ""bottom""),
  gp = gpar(
    col = GREY,
    fontsize = 16,
    fontfamily = ""Econ Sans Cnd""
  )
)
grid.text(
  ""The Economist"", 
  x = 0.005, 
  y = 0.005, 
  just = c(""left"", ""bottom""),
  gp = gpar(
    col = GREY,
    fontsize = 16,
    fontfamily = ""Milo TE W01""
  )
)","<-,+,theme,margin,grid.lines,c,gpar,grid.rect,grid.text","grid.lines,grid.rect,grid.text"
web-horizontal-barplot-with-labels-the-economist,unnamed-chunk-9-1,images/web-horizontal-barplot-with-labels-the-economist/unnamed-chunk-9-1.png,"plt <- plt + 
  labs(title = NULL, subtitle = NULL) +
  theme(
    plot.margin = margin(0.15, 0, 0.1, 0.01, ""npc"")
  )

plt 

grid.text(
  ""Escape artists"", 
  0, 
  0.925,
  just = c(""left"", ""bottom""),
  gp = gpar(
    fontsize = 22,
    fontface = ""bold"",
    fontfamily = ""Econ Sans Cnd""
  )
)

grid.text(
  ""Number of laboratory-acquired infections, 1970-2021"", 
  0, 
  0.875,
  just = c(""left"", ""bottom""),
  gp = gpar(
    fontsize = 20,
    fontfamily = ""Econ Sans Cnd""
  )
)

grid.lines(
  x = c(0, 1),
  y = 1,
  gp = gpar(col = ""#e5001c"", lwd = 4)
)

grid.rect(
  x = 0,
  y = 1,
  width = 0.05,
  height = 0.025,
  just = c(""left"", ""top""),
  gp = gpar(fill = ""#e5001c"", lwd = 0)
)

grid.text(
  ""Sources: Laboratory-Acquired Infection Database; American Biological Safety Association"", 
  x = 0.005, 
  y = 0.06, 
  just = c(""left"", ""bottom""),
  gp = gpar(
    col = GREY,
    fontsize = 16,
    fontfamily = ""Econ Sans Cnd""
  )
)

grid.text(
  ""The Economist"", 
  x = 0.005, 
  y = 0.005, 
  just = c(""left"", ""bottom""),
  gp = gpar(
    col = GREY,
    fontsize = 16,
    fontfamily = ""Milo TE W01""
  )
)","<-,+,labs,theme,margin,grid.text,c,gpar,grid.lines,grid.rect","grid.text,grid.lines,grid.rect"
web-lemurs-parallel-plot,unnamed-chunk-5-1,images/web-lemurs-parallel-plot/unnamed-chunk-5-1.png,"plt <- ggplot(lem_longev) + 
  geom_segment(aes(y = longev_F, yend = longev_M, x = 1, xend = 2, color = color)) +
  geom_point(aes(y = longev_F, x = 1, color = color, size = n_F)) +
  geom_point(aes(y = longev_M, x = 2, color = color, size = n_M)) +
  scale_color_identity()

plt","<-,+,ggplot,geom_segment,aes,geom_point,scale_color_identity","geom_segment,geom_point"
web-lemurs-parallel-plot,unnamed-chunk-6-1,images/web-lemurs-parallel-plot/unnamed-chunk-6-1.png,"plt <- plt +
  geom_text_repel(
    data = subset(lem_longev, taxon_id %% 2 != 0),
    aes(y = longev_M, x = 2, label = latin_name),
    nudge_x = 0.1, hjust = 0, direction = ""y"", family = family1,
    point.padding = 1, segment.size = 0.2, color = ""grey15""
  ) +
  geom_text_repel(
    data = subset(lem_longev, taxon_id %% 2 == 0),
    aes(y = longev_F, x = 1, label = latin_name),
    nudge_x = -0.1, hjust = 1, direction = ""y"", family = family1,
    point.padding = 1, segment.size = 0.2, color = ""grey15""
  ) +
  scale_x_continuous(limits = c(0.5, 2.5))

plt","<-,+,geom_text_repel,subset,!=,%%,aes,==,-,scale_x_continuous,c",geom_text_repel
web-lemurs-parallel-plot,unnamed-chunk-7-1,images/web-lemurs-parallel-plot/unnamed-chunk-7-1.png,"plt <- ggplot(lem_longev) + 
  # Add horizontal lines in the bacground representing the years axis
  annotate(
    ""segment"", x = 1.1, xend = 1.9, 
    y = seq(10, 40, by = 1), yend = seq(10, 40, by = 1), 
    alpha = 0.2, size = 0.2
  ) +
  # Add points with the same color than the background. These are the 
  # background of the text indicating the ages
  annotate(
    ""point"", x = 1.5, y = seq(10, 40, by = 5), 
    size = 16, color = ""grey96""
  ) +
  # Add the ages
  annotate(
    ""text"", x = 1.5, y = seq(10, 40, by = 5), 
    label = seq(10, 40, by = 5), size = 8, alpha = 0.2, 
    family = family2, fontface = ""bold"", color = ""darkgreen""
  ) +
  # Add annotation indicating which sex is on each side
  annotate(
    ""text"", x = c(0.9, 2.1), y = 11.25, 
    label = c(""Female"", ""Male""), hjust = c(1, 0), family = family2, 
    fontface = ""bold"", size = 10, alpha = 0.3, color = ""darkgreen""
  ) +
  # Same lollipops as above
  geom_segment(aes(y = longev_F, yend = longev_M, x = 1, xend = 2, color = color)) +
  geom_point(aes(y = longev_F, x = 1, color = color, size = n_F)) +
  geom_point(aes(y = longev_M, x = 2, color = color, size = n_M)) +
  
  # Same labels as above
  geom_text_repel(
    data = subset(lem_longev, taxon_id %% 2 != 0),
    aes(y = longev_M, x = 2, label = latin_name),
    nudge_x = 0.1, hjust = 0, direction = ""y"", family = family1,
    point.padding = 1, segment.size = 0.2, color = ""grey15""
  ) +
  geom_text_repel(
    data = subset(lem_longev, taxon_id %% 2 == 0),
    aes(y = longev_F, x = 1, label = latin_name),
    nudge_x = -0.1, hjust = 1, direction = ""y"", family = family1,
    point.padding = 1, segment.size = 0.2, color = ""grey15""
  ) +
  scale_x_continuous(limits = c(0.5, 2.5)) +
  scale_color_identity() +
  # This scale determine how the legend for the size is created
  scale_size_continuous(
    range = c(0.5, 5), 
    breaks = seq(0, 120, by = 20), 
    name = ""Total number of lemurs hosted at DLC by species and sex""
  ) +
  # Use a completely empty theme
  theme_void() +
  # Build a theme from scratch
  theme(
    # Set background color to grey96
    plot.background = element_rect(fill = ""grey96"", color = NA),
    # Send legend to bottom
    legend.position = ""bottom"",
    # Customize text of individual elements in the legend
    legend.text = element_text(family = family1, color = ""darkgreen""),
    # Customize text of the legend title
    legend.title = element_text(family = family1, color = ""darkgreen""),
    # Customize margin, the 10 is added to the top of the legend.
    legend.margin = margin(10, 0, 0, 0)
  )
  
plt","<-,+,ggplot,annotate,seq,c,geom_segment,aes,geom_point,geom_text_repel,subset,!=,%%,==,-,scale_x_continuous,scale_color_identity,scale_size_continuous,theme_void,theme,element_rect,element_text,margin","geom_segment,geom_point,geom_text_repel"
web-lemurs-parallel-plot,unnamed-chunk-8-1,images/web-lemurs-parallel-plot/unnamed-chunk-8-1.png,"plt <- plt + 
  labs(
    title = ""Longest lived lemurs at the Duke Lemur Center"",
    subtitle = ""Maximum age recorded in years (living or dead), by species and sex"",
    caption = ""Source: Duke Lemur Center · Graphic: Georgios Karamanis""
  ) +
  theme(
    plot.title = element_text(
      hjust = 0.5, size = 28, family = family2, 
      face = ""bold"", color = ""darkgreen""
    ),
    plot.subtitle = element_text(
      margin = margin(7, 0, 0, 0), hjust = 0.5, 
      size = 18, family = family1, color = ""grey30""
    ),
    plot.caption = element_text(
      hjust = 0.5, size = 10, color = ""grey30"", family = family1
    ),
    plot.margin = margin(20, 20, 20, 20)
  )

plt","<-,+,labs,theme,element_text,margin",
web-line-chart-small-multiple-all-group-greyed-out,unnamed-chunk-4-1,images/web-line-chart-small-multiple-all-group-greyed-out/unnamed-chunk-4-1.png,"p1 <- df1 %>% 
  ggplot() +
  geom_hline(yintercept = 100,linetype=""solid"", size=.25) +
  geom_point(data=df1 %>% 
               group_by(country) %>% 
               slice_max(date),
             aes(x=date, y=value, color=country),shape=16) +
  geom_line(aes(x=date, y=value, color=country)) +
  gghighlight(use_direct_label = FALSE,
              unhighlighted_params = list(colour = alpha(""grey85"", 1))) +
  geom_text(data=df1 %>% 
               group_by(country) %>% 
               slice_max(date),
             aes(x=date, y=value, color=country, label = round(value)),
             hjust = -.5, vjust = .5, size=2.5, family=font, fontface=""bold"") +
  scale_color_met_d(name=""Redon"") +
  scale_x_date(date_labels = ""%y"") +
  scale_y_continuous(breaks = c(90,95,100,105,110),
                     labels = c("""","""",""100"","""","""")
                     ) +
  #facet_wrap(~ country) +
  facet_wrap(~  factor(country, levels=c('USA','China','Japan','Germany', 'UK','France', 'Italy', 'South Korea', 'Australia'))) +
  coord_cartesian(clip = ""off"") +
  theme(
    axis.title = element_blank(),
    axis.text = element_text(color=txt_col, size=7),
    strip.text.x = element_text(face=""bold""),
    plot.title = element_markdown(hjust=.5,size=34, color=txt_col,lineheight=.8, face=""bold"", margin=margin(20,0,30,0)),
    plot.subtitle = element_markdown(hjust=.5,size=18, color=txt_col,lineheight = 1, margin=margin(10,0,30,0)),
    plot.caption = element_markdown(hjust=.5, margin=margin(60,0,0,0), size=8, color=txt_col, lineheight = 1.2),
    plot.caption.position = ""plot"",
    plot.background = element_rect(color=bg, fill=bg),
    plot.margin = margin(10,10,10,10),
    legend.position = ""none"",
    legend.title = element_text(face=""bold"")
  )

p1","<-,+,%>%,ggplot,geom_hline,geom_point,group_by,slice_max,aes,geom_line,gghighlight,list,alpha,geom_text,round,-,scale_color_met_d,scale_x_date,scale_y_continuous,c,facet_wrap,~,factor,coord_cartesian,theme,element_blank,element_text,element_markdown,margin,element_rect","geom_hline,geom_point,geom_line,gghighlight,geom_text,facet_wrap"
web-line-chart-with-labels-at-end-of-line,unnamed-chunk-6-1,images/web-line-chart-with-labels-at-end-of-line/unnamed-chunk-6-1.png,"plt <- ggplot(
  # The ggplot object has associated the data for the highlighted countries
  df_mac_indexed_2008 %>% filter(group != ""other""), 
  aes(year, price_rel, group = iso_a3)
) + 
  # Geometric annotations that play the role of grid lines
  geom_vline(
    xintercept = seq(2000, 2020, by = 5),
    color = ""grey91"", 
    size = .6
  ) +
  geom_segment(
    data = tibble(y = seq(-4, 3, by = 1), x1 = 2000, x2 = 2020),
    aes(x = x1, xend = x2, y = y, yend = y),
    inherit.aes = FALSE,
    color = ""grey91"",
    size = .6
  ) +
  geom_segment(
    data = tibble(y = 0, x1 = 2000, x2 = 2020),
    aes(x = x1, xend = x2, y = y, yend = y),
    inherit.aes = FALSE,
    color = ""grey60"",
    size = .8
  ) +
  geom_vline(
    aes(xintercept = ref_year), 
    color = ""grey40"",
    linetype = ""dotted"",
    size = .8
  ) +
  ## Lines for the non-highlighted countries
  geom_line(
    data = df_mac_indexed_2008 %>% filter(group == ""other""),
    color = ""grey75"",
    size = .6,
    alpha = .5
  ) +
  ## Lines for the highlighted countries.
  # It's important to put them after the grey lines
  # so the colored ones are on top
  geom_line(
    aes(color = group),
    size = .9
  )
plt","<-,+,ggplot,%>%,filter,!=,aes,geom_vline,seq,geom_segment,tibble,-,geom_line,==","geom_vline,geom_segment,geom_line"
web-line-chart-with-labels-at-end-of-line,unnamed-chunk-7-1,images/web-line-chart-with-labels-at-end-of-line/unnamed-chunk-7-1.png,"plt <- plt + 
  annotate(
    ""text"", x = 2008.15, y = -3.35, 
    label = ""2008"",
    family = ""Lato"",
    size = 8,
    color = ""grey40"",
    hjust = 0
  ) +
  geom_text_repel(
    aes(color = group, label = name_lab),
    family = ""Lato"",
    fontface = ""bold"",
    size = 8,
    direction = ""y"",
    xlim = c(2020.8, NA),
    hjust = 0,
    segment.size = .7,
    segment.alpha = .5,
    segment.linetype = ""dotted"",
    box.padding = .4,
    segment.curvature = -0.1,
    segment.ncp = 3,
    segment.angle = 20
  ) +
  ## coordinate system + scales
  coord_cartesian(
    clip = ""off"",
    ylim = c(-4, 3)
  ) +
  scale_x_continuous(
    expand = c(0, 0),
    limits = c(2000, 2023.5), 
    breaks = seq(2000, 2020, by = 5)
  ) +
  scale_y_continuous(
    expand = c(0, 0),
    breaks = seq(-4, 3, by = 1),
    labels = glue::glue(""{format(seq(-4, 3, by = 1), nsmall = 2)}$"")
  )
plt ","<-,+,annotate,-,geom_text_repel,aes,c,coord_cartesian,scale_x_continuous,seq,scale_y_continuous,glue",geom_text_repel
